,mask_FTOC,bathy
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,16.034761428833
67,,69.7247619628906
68,,61.9045906066895
69,,69.9145889282227
70,,91.7945861816406
71,,101.484588623047
72,,102.95458984375
73,,110.371086120605
74,,143.801086425781
75,,159.571090698242
76,,160.021087646484
77,,157.559112548828
78,,152.75910949707
79,,158.559112548828
80,,160.099105834961
81,,141.413818359375
82,,119.433822631836
83,,127.293823242188
84,,146.103820800781
85,,161.58039855957
86,,176.550384521484
87,,190.810394287109
88,,193.140396118164
89,,195.510391235352
90,,220.430114746094
91,,190.880111694336
92,,144.160110473633
93,,136.780120849609
94,,134.846893310547
95,,132.326904296875
96,,131.116897583008
97,,129.766906738281
98,,116.701858520508
99,,103.491859436035
100,,107.241859436035
101,,107.941856384277
102,,105.67724609375
103,,111.267250061035
104,,116.167251586914
105,,125.507247924805
106,,124.147247314453
107,,110.209381103516
108,,97.4593811035156
109,,78.1493759155273
110,,68.7793807983398
111,,78.1702499389648
112,,80.3402557373047
113,,80.5002517700195
114,,86.2502517700195
115,,95.5830078125
116,,96.5630035400391
117,,89.0130081176758
118,,85.213005065918
119,,93.3438873291016
120,,92.98388671875
121,,89.853889465332
122,,107.103889465332
123,,130.673889160156
124,,152.572250366211
125,,173.242248535156
126,,194.722244262695
127,,207.682250976562
128,,209.366729736328
129,,224.966735839844
130,,247.876724243164
131,,258.766723632812
132,,262.228942871094
133,,276.39892578125
134,,320.488922119141
135,,339.308929443359
136,,331.318939208984
137,,290.758728027344
138,,235.478729248047
139,,228.62873840332
140,,251.988739013672
141,,269.674835205078
142,,273.19482421875
143,,258.074829101562
144,,240.804824829102
145,,206.562866210938
146,,193.60285949707
147,,192.082870483398
148,,196.522872924805
149,,185.190383911133
150,,176.380386352539
151,,177.590377807617
152,,172.190383911133
153,,156.370376586914
154,,137.799926757812
155,,129.409927368164
156,,133.879928588867
157,,135.949935913086
158,,133.137390136719
159,,114.467391967773
160,,102.097396850586
161,,90.2773971557617
162,,91.1760406494141
163,,96.8160400390625
164,,115.676040649414
165,,118.076042175293
166,,96.0284271240234
167,,89.6084289550781
168,,90.1484298706055
169,,91.5584259033203
170,,96.4684295654297
171,,112.21395111084
172,,132.923950195312
173,,137.263946533203
174,,137.873947143555
175,,127.008796691895
176,,122.128791809082
177,,116.478790283203
178,,113.67879486084
179,,107.459365844727
