V1,V2,V3
-180,90,-4218
-178.99721448468,90,-4211
-177.994428969359,90,-4202
-176.991643454039,90,-4191
-175.988857938719,90,-4184
-174.986072423398,90,-4176
-173.983286908078,90,-4172
-172.980501392758,90,-4173
-171.977715877437,90,-4174
-170.974930362117,90,-4175
-169.972144846797,90,-4181
-168.969359331476,90,-4184
-167.966573816156,90,-4187
-166.963788300836,90,-4188
-165.961002785515,90,-4187
-164.958217270195,90,-4184
-163.955431754875,90,-4183
-162.952646239554,90,-4180
-161.949860724234,90,-4177
-160.947075208914,90,-4175
-159.944289693593,90,-4173
-158.941504178273,90,-4173
-157.938718662953,90,-4172
-156.935933147632,90,-4172
-155.933147632312,90,-4171
-154.930362116992,90,-4170
-153.927576601671,90,-4168
-152.924791086351,90,-4165
-151.922005571031,90,-4163
-150.91922005571,90,-4162
-149.91643454039,90,-4161
-148.91364902507,90,-4160
-147.910863509749,90,-4159
-146.908077994429,90,-4154
-145.905292479109,90,-4142
-144.902506963788,90,-4116
-143.899721448468,90,-4073
-142.896935933148,90,-4023
-141.894150417827,90,-3970
-140.891364902507,90,-3916
-139.888579387187,90,-3889
-138.885793871866,90,-3849
-137.883008356546,90,-3838
-136.880222841226,90,-3844
-135.877437325905,90,-3861
-134.874651810585,90,-3886
-133.871866295265,90,-3909
-132.869080779944,90,-3930
-131.866295264624,90,-3938
-130.863509749304,90,-3965
-129.860724233983,90,-3991
-128.857938718663,90,-4011
-127.855153203343,90,-4027
-126.852367688022,90,-4039
-125.849582172702,90,-4046
-124.846796657382,90,-4047
-123.844011142061,90,-4048
-122.841225626741,90,-4048
-121.838440111421,90,-4048
-120.8356545961,90,-4041
-119.83286908078,90,-4038
-118.83008356546,90,-4039
-117.827298050139,90,-4040
-116.824512534819,90,-4039
-115.821727019499,90,-4039
-114.818941504178,90,-4042
-113.816155988858,90,-4051
-112.813370473538,90,-4070
-111.810584958217,90,-4093
-110.807799442897,90,-4100
-109.805013927577,90,-4095
-108.802228412256,90,-4089
-107.799442896936,90,-4089
-106.796657381616,90,-4089
-105.793871866295,90,-4083
-104.791086350975,90,-4073
-103.788300835655,90,-4056
-102.785515320334,90,-4043
-101.782729805014,90,-4041
-100.779944289694,90,-4040
-99.7771587743733,90,-4041
-98.7743732590529,90,-4046
-97.7715877437326,90,-4055
-96.7688022284123,90,-4070
-95.7660167130919,90,-4078
-94.7632311977716,90,-4082
-93.7604456824513,90,-4091
-92.7576601671309,90,-4100
-91.7548746518106,90,-4110
-90.7520891364903,90,-4132
-89.7493036211699,90,-4149
-88.7465181058496,90,-4157
-87.7437325905292,90,-4162
-86.7409470752089,90,-4164
-85.7381615598886,90,-4163
-84.7353760445683,90,-4162
-83.7325905292479,90,-4160
-82.7298050139276,90,-4157
-81.7270194986072,90,-4154
-80.7242339832869,90,-4150
-79.7214484679666,90,-4145
-78.7186629526462,90,-4139
-77.7158774373259,90,-4134
-76.7130919220056,90,-4129
-75.7103064066852,90,-4127
-74.7075208913649,90,-4127
-73.7047353760446,90,-4128
-72.7019498607242,90,-4131
-71.6991643454039,90,-4135
-70.6963788300836,90,-4137
-69.6935933147632,90,-4133
-68.6908077994429,90,-4125
-67.6880222841226,90,-4120
-66.6852367688022,90,-4113
-65.6824512534819,90,-4112
-64.6796657381616,90,-4114
-63.6768802228412,90,-4122
-62.6740947075209,90,-4131
-61.6713091922006,90,-4139
-60.6685236768802,90,-4144
-59.6657381615599,90,-4145
-58.6629526462396,90,-4149
-57.6601671309192,90,-4151
-56.6573816155989,90,-4153
-55.6545961002786,90,-4153
-54.6518105849582,90,-4152
-53.6490250696379,90,-4150
-52.6462395543176,90,-4149
-51.6434540389972,90,-4148
-50.6406685236769,90,-4147
-49.6378830083565,90,-4147
-48.6350974930362,90,-4147
-47.6323119777159,90,-4148
-46.6295264623955,90,-4150
-45.6267409470752,90,-4153
-44.6239554317549,90,-4155
-43.6211699164346,90,-4156
-42.6183844011142,90,-4157
-41.6155988857939,90,-4157
-40.6128133704735,90,-4155
-39.6100278551532,90,-4156
-38.6072423398329,90,-4157
-37.6044568245125,90,-4157
-36.6016713091922,90,-4157
-35.5988857938719,90,-4157
-34.5961002785515,90,-4159
-33.5933147632312,90,-4159
-32.5905292479109,90,-4160
-31.5877437325905,90,-4160
-30.5849582172702,90,-4161
-29.5821727019499,90,-4161
-28.5793871866295,90,-4162
-27.5766016713092,90,-4162
-26.5738161559889,90,-4163
-25.5710306406685,90,-4162
-24.5682451253482,90,-4161
-23.5654596100279,90,-4160
-22.5626740947075,90,-4160
-21.5598885793872,90,-4159
-20.5571030640669,90,-4159
-19.5543175487465,90,-4159
-18.5515320334262,90,-4158
-17.5487465181058,90,-4158
-16.5459610027855,90,-4158
-15.5431754874652,90,-4157
