,mask_FTOC,bathy
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
26,,
27,,
28,,
29,,
30,,
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,7.0
57,,27.0
58,,46.0
59,,64.0
60,,81.0
61,,94.0
62,,104.0
63,,110.0
64,,112.0
65,,111.0
66,,106.0
67,,98.0
68,,88.0
69,,81.0
70,,75.0
71,,73.0
72,,73.0
73,,77.0
74,,84.0
75,,92.0
76,,100.0
77,,107.0
78,,112.0
79,,115.0
80,,116.0
81,,114.0
82,,111.0
83,,105.0
84,,93.0
85,,81.0
86,,71.0
87,,61.0
88,,56.0
89,,46.0
90,,41.0
91,,37.0
92,,35.0
93,,39.0
94,,43.0
95,,48.0
96,,52.0
97,,60.0
98,,69.0
99,,76.0
100,,84.0
101,,89.0
102,,95.0
103,,98.0
104,,99.0
105,,101.0
106,,102.0
107,,101.0
108,,100.0
109,,98.0
110,,94.0
111,,90.0
112,,88.0
113,,83.0
114,,79.0
115,,77.0
116,,77.0
117,,80.0
118,,86.0
119,,92.0
120,,97.0
121,,106.0
122,,115.0
123,,125.0
124,,135.0
125,,145.0
126,,155.0
127,,165.0
128,,169.0
129,,179.0
130,,188.0
131,,199.0
132,,210.0
133,,222.0
134,,234.0
135,,245.0
136,,249.0
137,,258.0
138,,264.0
139,,268.0
140,,270.0
141,,272.0
142,,272.0
143,,272.0
144,,272.0
145,,271.0
146,,270.0
147,,269.0
148,,266.0
149,,262.0
150,,257.0
151,,250.0
152,,247.0
153,,238.0
154,,230.0
155,,220.0
156,,210.0
157,,200.0
158,,190.0
159,,181.0
160,,177.0
161,,169.0
162,,161.0
163,,152.0
164,,144.0
165,,136.0
166,,128.0
167,,123.0
168,,120.0
169,,117.0
170,,119.0
171,,122.0
172,,128.0
173,,135.0
174,,145.0
175,,159.0
176,,165.0
177,,180.0
178,,193.0
179,,206.0
180,,220.0
181,,234.0
182,,248.0
183,,260.0
184,,266.0
185,,277.0
186,,288.0
187,,298.0
188,,308.0
189,,315.0
190,,320.0
191,,322.0
192,,323.0
193,,321.0
194,,318.0
195,,313.0
196,,306.0
197,,299.0
198,,292.0
199,,285.0
200,,282.0
201,,275.0
202,,269.0
203,,264.0
204,,258.0
205,,253.0
206,,247.0
207,,241.0
208,,237.0
209,,229.0
210,,219.0
211,,208.0
212,,195.0
213,,180.0
214,,165.0
215,,147.0
216,,138.0
217,,119.0
218,,98.0
219,,77.0
220,,57.0
221,,36.0
222,,18.0
223,,1.0
224,,
225,,
226,,
227,,
228,,
229,,
