"mask_FTOC","bathy"
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,7
NA,27
NA,46
NA,64
NA,81
NA,94
NA,104
NA,110
NA,112
NA,111
NA,106
NA,98
NA,88
NA,81
NA,75
NA,73
NA,73
NA,77
NA,84
NA,92
NA,100
NA,107
NA,112
NA,115
NA,116
NA,114
NA,111
NA,105
NA,93
NA,81
NA,71
NA,61
NA,56
NA,46
NA,41
NA,37
NA,35
NA,39
NA,43
NA,48
NA,52
NA,60
NA,69
NA,76
NA,84
NA,89
NA,95
NA,98
NA,99
NA,101
NA,102
NA,101
NA,100
NA,98
NA,94
NA,90
NA,88
NA,83
NA,79
NA,77
NA,77
NA,80
NA,86
NA,92
NA,97
NA,106
NA,115
NA,125
NA,135
NA,145
NA,155
NA,165
NA,169
NA,179
NA,188
NA,199
NA,210
NA,222
NA,234
NA,245
NA,249
NA,258
NA,264
NA,268
NA,270
NA,272
NA,272
NA,272
NA,272
NA,271
NA,270
NA,269
NA,266
NA,262
NA,257
NA,250
NA,247
NA,238
NA,230
NA,220
NA,210
NA,200
NA,190
NA,181
NA,177
NA,169
NA,161
NA,152
NA,144
NA,136
NA,128
NA,123
NA,120
NA,117
NA,119
NA,122
NA,128
NA,135
NA,145
NA,159
NA,165
NA,180
NA,193
NA,206
NA,220
NA,234
NA,248
NA,260
NA,266
NA,277
NA,288
NA,298
NA,308
NA,315
NA,320
NA,322
NA,323
NA,321
NA,318
NA,313
NA,306
NA,299
NA,292
NA,285
NA,282
NA,275
NA,269
NA,264
NA,258
NA,253
NA,247
NA,241
NA,237
NA,229
NA,219
NA,208
NA,195
NA,180
NA,165
NA,147
NA,138
NA,119
NA,98
NA,77
NA,57
NA,36
NA,18
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,4
NA,28
NA,42
NA,72
NA,102
NA,130
NA,153
NA,169
NA,178
NA,181
NA,180
NA,175
NA,167
NA,158
NA,147
NA,134
NA,117
NA,97
NA,85
NA,59
NA,31
NA,1
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,3
NA,24
NA,44
NA,64
NA,82
NA,91
NA,107
NA,122
NA,136
NA,150
NA,160
NA,166
NA,166
NA,163
NA,155
NA,142
NA,125
NA,105
NA,83
NA,60
NA,39
NA,29
NA,11
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,19
NA,34
NA,40
NA,39
NA,36
NA,24
NA,8
NA,NA
NA,NA
NA,NA
NA,3
NA,24
NA,36
NA,61
NA,84
NA,102
NA,115
NA,123
NA,128
NA,134
NA,136
NA,139
NA,140
NA,141
NA,141
NA,141
NA,137
NA,129
NA,123
NA,106
NA,82
NA,54
NA,25
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
